utr,settlement_amount_paise,value_date
UTR00001,120882,2026-06-02
UTR00002,219655,2026-07-03
UTR00003,110187,2026-05-16
UTR00004,40568,2026-02-07
UTR00005,23456,2026-05-21
UTR00006,186339,2026-02-25
UTR00007,140650,2026-04-19
UTR00008,191849,2026-06-07
UTR00009,883196,2026-04-17
UTR00010,227987,2026-02-10
UTR00011,73043,2026-03-13
UTR00012,7153913,2026-05-25
UTR00013,118493,2026-04-15
UTR00014,10868914,2026-01-19
UTR00015,123786,2026-06-09
UTR00016,205507,2026-02-17
UTR00017,200962,2026-05-22
UTR00018,124165,2026-04-18
UTR00019,135855,2026-05-18
UTR00020,67641,2026-05-19
UTR00021,142295,2026-06-27
UTR00022,5212506,2026-01-18
UTR00023,137993,2026-03-01
UTR00024,81899,2026-05-03
UTR00025,76030,2026-04-28
UTR00026,61647,2026-02-03
UTR00027,118217,2026-06-07
UTR00028,140872,2026-01-08
UTR00029,220963,2026-04-25
UTR00030,5919763,2026-02-02
UTR00031,171599,2026-02-16
UTR00032,710241,2026-03-06
UTR00033,3835662,2026-06-06
UTR00034,179545,2026-01-18
UTR00035,6629299,2026-02-24
UTR00036,117617,2026-03-07
UTR00037,58985,2026-05-21
UTR00038,72518,2026-03-10
UTR00039,144890,2026-03-11
UTR00040,4840188,2026-06-20
UTR00041,855175,2026-03-25
UTR00042,29208,2026-05-13
UTR00043,127443,2026-06-05
UTR00044,605460,2026-03-26
UTR00045,214715,2026-03-08
UTR00046,173148,2026-03-08
UTR00047,503770,2026-02-12
UTR00048,79054,2026-01-08
UTR00049,8132,2026-01-09
UTR00050,31485,2026-03-23
UTR00051,31198,2026-02-12
UTR00052,80266,2026-02-13
UTR00053,176126,2026-06-21
UTR00054,7916317,2026-04-18
UTR00055,161997,2026-06-15
UTR00056,1239696,2026-04-04
UTR00057,94967,2026-05-15
UTR00058,325528,2026-05-11
UTR00059,1067719,2026-05-20
UTR00060,240877,2026-06-27
UTR00061,21767,2026-06-06
UTR00062,7481,2026-06-07
UTR00063,116598,2026-01-28
UTR00064,31668,2026-06-23
UTR00065,196694,2026-02-01
UTR00066,5025759,2026-02-22
UTR00067,71369,2026-06-26
UTR00068,999686,2026-02-08
UTR00069,66092,2026-04-22
UTR00070,847204,2026-06-21
UTR00071,570728,2026-03-21
UTR00072,215480,2026-03-04
UTR00073,134596,2026-05-16
UTR00074,194691,2026-06-21
UTR00075,50467,2026-05-16
UTR00076,223766,2026-05-26
UTR00077,104562,2026-04-21
UTR00078,157898,2026-04-05
UTR00079,1130627,2026-01-23
UTR00080,1202050,2026-03-16
UTR00081,6432222,2026-03-16
UTR00082,1431806,2026-03-31
UTR00083,43291,2026-05-11
UTR00084,22496,2026-05-12
UTR00085,3064240,2026-03-23
UTR00086,12378,2026-02-07
UTR00087,208210,2026-02-08
UTR00088,231925,2026-06-20
UTR00089,5893066,2026-02-14
UTR00090,120946,2026-06-13
UTR00091,32059,2026-06-14
UTR00092,23236,2026-02-05
UTR00093,238144,2026-04-24
UTR00094,416776,2026-06-25
UTR00095,812859,2026-05-12
UTR00096,235793,2026-06-07
UTR00097,8715806,2026-02-23
UTR00098,453404,2026-03-04
UTR00099,993094,2026-07-01
UTR00100,80425,2026-03-09
UTR00101,163912,2026-04-20
UTR00102,154813,2026-04-21
UTR00103,560368,2026-04-26
UTR00104,5529,2026-05-11
UTR00105,232009,2026-05-12
UTR00106,821323,2026-04-07
UTR00107,201767,2026-06-27
UTR00108,397933,2026-04-08
UTR00109,1433868,2026-06-12
UTR00110,486896,2026-03-06
