txn_id,order_id,gross_amount_paise,fee_paise,gst_on_fee_paise,net_amount_paise,captured_at,payment_status
TXN00001,ORD00001,123805,2476,446,120883,2026-05-31T21:08:00+00:00,captured
TXN00002,ORD00002,224964,4499,810,219655,2026-07-01T12:22:00+00:00,captured
TXN00003,ORD00003,112850,2257,406,110187,2026-05-14T17:40:00+00:00,captured
TXN00004,ORD00003,112850,2257,406,110187,2026-05-14T17:43:00+00:00,captured
TXN00005,ORD00004,41549,831,150,40568,2026-02-05T18:19:00+00:00,captured
TXN00006,ORD00005,24021,480,86,23455,2026-05-19T11:37:00+00:00,captured
TXN00007,ORD00006,190843,3817,687,186339,2026-02-23T16:50:00+00:00,captured
TXN00008,ORD00007,144050,2881,519,140650,2026-04-17T19:58:00+00:00,captured
TXN00009,ORD00008,196486,3930,707,191849,2026-06-05T19:17:00+00:00,captured
TXN00010,ORD00009,904543,18091,3256,883196,2026-04-15T17:38:00+00:00,captured
TXN00011,ORD00010,233498,4670,841,227987,2026-02-06T15:20:00+00:00,captured
TXN00012,ORD00011,74808,1496,269,73043,2026-03-11T15:29:00+00:00,captured
TXN00013,ORD00012,7326827,146537,26377,7153913,2026-05-23T20:58:00+00:00,captured
TXN00014,ORD00013,121357,2427,437,118493,2026-04-13T14:52:00+00:00,captured
TXN00015,ORD00014,4631612,92632,16674,4522306,2026-01-17T12:13:00+00:00,captured
TXN00016,ORD00015,6218930,124379,22388,6072163,2026-01-17T18:31:00+00:00,captured
TXN00017,ORD00016,149304,2986,537,145781,2026-01-17T17:14:00+00:00,captured
TXN00018,ORD00017,131773,2635,474,128664,2026-01-17T18:56:00+00:00,captured
TXN00019,ORD00018,126778,2536,456,123786,2026-06-07T12:12:00+00:00,captured
TXN00020,ORD00019,210475,4210,758,205507,2026-02-15T11:48:00+00:00,captured
TXN00021,ORD00019,210475,4210,758,205507,2026-02-15T11:55:00+00:00,captured
TXN00022,ORD00020,205819,4116,741,200962,2026-05-20T17:52:00+00:00,captured
TXN00023,ORD00020,205819,4116,741,200962,2026-05-20T18:21:00+00:00,captured
TXN00024,ORD00021,127166,2543,458,124165,2026-04-16T16:31:00+00:00,captured
TXN00025,ORD00022,208414,4168,750,203496,2026-05-16T12:59:00+00:00,captured
TXN00026,ORD00023,145735,2915,525,142295,2026-06-25T15:08:00+00:00,captured
TXN00027,ORD00024,68207,1364,246,66597,2026-01-16T19:30:00+00:00,captured
TXN00028,ORD00025,77673,1553,280,75840,2026-01-16T15:24:00+00:00,captured
TXN00029,ORD00026,4201289,84026,15125,4102138,2026-01-16T13:24:00+00:00,captured
TXN00030,ORD00027,991327,19827,3569,967931,2026-01-16T15:03:00+00:00,captured
TXN00031,ORD00028,141329,2827,509,137993,2026-02-27T20:09:00+00:00,captured
TXN00032,ORD00029,83879,1678,302,81899,2026-05-01T22:11:00+00:00,captured
TXN00033,ORD00030,77867,1557,280,76030,2026-04-24T19:28:00+00:00,captured
TXN00034,ORD00031,63137,1263,227,61647,2026-01-29T23:42:00+00:00,captured
TXN00035,ORD00032,121077,2422,436,118219,2026-06-05T14:33:00+00:00,captured
TXN00036,ORD00033,144277,2886,519,140872,2026-01-06T22:54:00+00:00,captured
TXN00037,ORD00034,226304,4526,815,220963,2026-04-23T14:27:00+00:00,captured
TXN00038,ORD00035,175747,3515,633,171599,2026-02-14T13:17:00+00:00,captured
TXN00039,ORD00036,3928371,78567,14142,3835662,2026-06-04T11:37:00+00:00,captured
TXN00040,ORD00037,183885,3678,662,179545,2026-01-16T16:46:00+00:00,captured
TXN00041,ORD00038,193131,3863,695,188573,2026-02-22T11:09:00+00:00,captured
TXN00042,ORD00039,104538,2091,376,102071,2026-02-22T13:49:00+00:00,captured
TXN00043,ORD00040,218743,4375,788,213580,2026-02-22T14:55:00+00:00,captured
TXN00044,ORD00041,6273120,125462,22583,6125075,2026-02-22T13:41:00+00:00,captured
TXN00045,ORD00042,120460,2409,434,117617,2026-03-05T22:41:00+00:00,captured
TXN00046,ORD00043,60410,1208,217,58985,2026-05-19T19:28:00+00:00,captured
TXN00047,ORD00044,222663,4453,802,217408,2026-03-08T14:53:00+00:00,captured
TXN00048,ORD00045,4957178,99144,17846,4840188,2026-06-16T13:39:00+00:00,captured
TXN00049,ORD00046,875845,17517,3153,855175,2026-03-23T17:25:00+00:00,captured
TXN00050,ORD00047,29916,598,108,29210,2026-05-11T19:20:00+00:00,captured
TXN00051,ORD00048,130523,2610,470,127443,2026-06-01T20:46:00+00:00,captured
TXN00052,ORD00049,74643,1493,269,72881,2026-03-24T19:36:00+00:00,captured
TXN00053,ORD00050,246175,4924,886,240365,2026-03-24T13:56:00+00:00,captured
TXN00054,ORD00051,131122,2622,472,128028,2026-03-24T17:08:00+00:00,captured
TXN00055,ORD00052,71439,1429,257,69753,2026-03-24T17:56:00+00:00,captured
TXN00056,ORD00053,96715,1934,348,94433,2026-03-24T20:04:00+00:00,captured
TXN00057,ORD00054,219905,4398,792,214715,2026-03-03T17:21:00+00:00,captured
TXN00058,ORD00055,177333,3547,638,173148,2026-03-06T17:20:00+00:00,captured
TXN00059,ORD00055,177333,3547,638,173148,2026-03-06T17:39:00+00:00,captured
TXN00060,ORD00056,515946,10319,1857,503770,2026-02-10T21:56:00+00:00,captured
TXN00061,ORD00057,89293,1786,321,87186,2026-01-06T18:27:00+00:00,captured
TXN00062,ORD00058,32246,645,116,31485,2026-03-21T16:40:00+00:00,captured
TXN00063,ORD00059,114158,2283,411,111464,2026-02-10T15:55:00+00:00,captured
TXN00064,ORD00060,180383,3608,649,176126,2026-06-19T18:29:00+00:00,captured
TXN00065,ORD00060,180383,3608,649,176126,2026-06-19T18:34:00+00:00,captured
TXN00066,ORD00061,1021724,20434,3678,997612,2026-04-16T15:26:00+00:00,captured
TXN00067,ORD00062,6874982,137500,24750,6712732,2026-04-16T17:47:00+00:00,captured
TXN00068,ORD00063,34967,699,126,34142,2026-04-16T13:01:00+00:00,captured
TXN00069,ORD00064,175985,3520,634,171831,2026-04-16T12:21:00+00:00,captured
TXN00070,ORD00065,165912,3318,597,161997,2026-06-13T15:31:00+00:00,captured
TXN00071,ORD00066,1269660,25393,4571,1239696,2026-04-02T13:20:00+00:00,captured
TXN00072,ORD00067,97262,1945,350,94967,2026-05-13T15:23:00+00:00,captured
TXN00073,ORD00068,1093527,21871,3937,1067719,2026-05-18T20:27:00+00:00,captured
TXN00074,ORD00069,246701,4934,888,240879,2026-06-25T21:03:00+00:00,captured
TXN00075,ORD00070,29955,599,108,29248,2026-06-04T10:25:00+00:00,captured
TXN00076,ORD00071,119416,2388,430,116598,2026-01-26T11:47:00+00:00,captured
TXN00077,ORD00072,32434,649,117,31668,2026-06-21T12:09:00+00:00,captured
TXN00078,ORD00073,5147234,102945,18530,5025759,2026-02-20T16:17:00+00:00,captured
TXN00079,ORD00074,73094,1462,263,71369,2026-06-21T13:42:00+00:00,captured
TXN00080,ORD00075,1023849,20477,3686,999686,2026-02-06T12:01:00+00:00,captured
TXN00081,ORD00076,67690,1354,244,66092,2026-04-20T18:36:00+00:00,captured
TXN00082,ORD00077,867682,17354,3124,847204,2026-06-19T11:17:00+00:00,captured
TXN00083,ORD00077,867682,17354,3124,847204,2026-06-19T11:27:00+00:00,captured
TXN00084,ORD00078,584522,11690,2104,570728,2026-03-17T18:33:00+00:00,captured
TXN00085,ORD00079,220689,4414,795,215480,2026-03-02T12:23:00+00:00,captured
TXN00086,ORD00080,137849,2757,496,134596,2026-05-14T13:20:00+00:00,captured
TXN00087,ORD00081,199397,3988,718,194691,2026-06-19T15:14:00+00:00,captured
