order_id,customer_id,order_amount_paise,order_status,created_at
ORD00001,CUST0211,123805,paid,2026-05-31T18:52:00+00:00
ORD00002,CUST0169,224964,paid,2026-07-01T09:09:00+00:00
ORD00003,CUST0363,112850,paid,2026-05-14T15:16:00+00:00
ORD00004,CUST0481,41549,paid,2026-02-05T17:27:00+00:00
ORD00005,CUST0303,24021,paid,2026-05-19T11:07:00+00:00
ORD00006,CUST0296,190843,paid,2026-02-23T14:35:00+00:00
ORD00007,CUST0253,144050,paid,2026-04-17T16:33:00+00:00
ORD00008,CUST0231,196486,paid,2026-06-05T18:44:00+00:00
ORD00009,CUST0198,904543,paid,2026-04-15T15:37:00+00:00
ORD00010,CUST0142,233498,paid,2026-02-06T15:16:00+00:00
ORD00011,CUST0090,74808,paid,2026-03-11T13:57:00+00:00
ORD00012,CUST0293,7326827,paid,2026-05-23T18:25:00+00:00
ORD00013,CUST0454,121357,paid,2026-04-13T14:29:00+00:00
ORD00014,CUST0236,4631612,paid,2026-01-17T11:52:00+00:00
ORD00015,CUST0196,6218930,paid,2026-01-17T17:32:00+00:00
ORD00016,CUST0176,149304,paid,2026-01-17T15:10:00+00:00
ORD00017,CUST0261,131773,paid,2026-01-17T16:06:00+00:00
ORD00018,CUST0243,126778,paid,2026-06-07T09:05:00+00:00
ORD00019,CUST0124,210475,paid,2026-02-15T11:36:00+00:00
ORD00020,CUST0035,205819,paid,2026-05-20T16:57:00+00:00
ORD00021,CUST0061,127166,paid,2026-04-16T15:39:00+00:00
ORD00022,CUST0007,208414,paid,2026-05-16T11:10:00+00:00
ORD00023,CUST0258,145735,paid,2026-06-25T11:55:00+00:00
ORD00024,CUST0450,68207,paid,2026-01-16T17:45:00+00:00
ORD00025,CUST0441,77673,paid,2026-01-16T15:15:00+00:00
ORD00026,CUST0489,4201289,paid,2026-01-16T11:15:00+00:00
ORD00027,CUST0257,991327,paid,2026-01-16T13:30:00+00:00
ORD00028,CUST0100,141329,paid,2026-02-27T17:38:00+00:00
ORD00029,CUST0342,83879,paid,2026-05-01T19:55:00+00:00
ORD00030,CUST0024,77867,paid,2026-04-24T17:27:00+00:00
ORD00031,CUST0474,63137,paid,2026-01-29T20:36:00+00:00
ORD00032,CUST0078,121077,paid,2026-06-05T10:56:00+00:00
ORD00033,CUST0452,144277,paid,2026-01-06T20:34:00+00:00
ORD00034,CUST0420,226304,paid,2026-04-23T12:16:00+00:00
ORD00035,CUST0329,175747,paid,2026-02-14T12:12:00+00:00
ORD00036,CUST0114,3928371,paid,2026-06-04T10:56:00+00:00
ORD00037,CUST0477,183885,paid,2026-01-16T15:11:00+00:00
ORD00038,CUST0419,193131,paid,2026-02-22T10:49:00+00:00
ORD00039,CUST0145,104538,paid,2026-02-22T10:49:00+00:00
ORD00040,CUST0098,218743,paid,2026-02-22T13:50:00+00:00
ORD00041,CUST0387,6273120,paid,2026-02-22T11:34:00+00:00
ORD00042,CUST0259,120460,paid,2026-03-05T19:32:00+00:00
ORD00043,CUST0307,60410,paid,2026-05-19T17:10:00+00:00
ORD00044,CUST0347,222663,paid,2026-03-08T11:34:00+00:00
ORD00045,CUST0061,4957178,paid,2026-06-16T12:46:00+00:00
ORD00046,CUST0121,875845,paid,2026-03-23T14:31:00+00:00
ORD00047,CUST0310,29916,paid,2026-05-11T15:33:00+00:00
ORD00048,CUST0149,130523,paid,2026-06-01T18:12:00+00:00
ORD00049,CUST0050,74643,paid,2026-03-24T16:11:00+00:00
ORD00050,CUST0131,246175,paid,2026-03-24T11:37:00+00:00
ORD00051,CUST0197,131122,paid,2026-03-24T16:19:00+00:00
ORD00052,CUST0341,71439,paid,2026-03-24T16:22:00+00:00
ORD00053,CUST0120,96715,paid,2026-03-24T16:52:00+00:00
ORD00054,CUST0272,219905,paid,2026-03-03T14:08:00+00:00
ORD00055,CUST0361,177333,paid,2026-03-06T15:30:00+00:00
ORD00056,CUST0383,515946,paid,2026-02-10T20:35:00+00:00
ORD00057,CUST0111,89293,paid,2026-01-06T17:36:00+00:00
ORD00058,CUST0325,32246,paid,2026-03-21T14:28:00+00:00
ORD00059,CUST0496,114158,paid,2026-02-10T13:27:00+00:00
ORD00060,CUST0484,180383,paid,2026-06-19T18:07:00+00:00
ORD00061,CUST0096,1021724,paid,2026-04-16T13:26:00+00:00
ORD00062,CUST0016,6874982,paid,2026-04-16T17:16:00+00:00
ORD00063,CUST0047,34967,paid,2026-04-16T12:02:00+00:00
ORD00064,CUST0159,175985,paid,2026-04-16T11:25:00+00:00
ORD00065,CUST0087,165912,paid,2026-06-13T13:42:00+00:00
ORD00066,CUST0264,1269660,paid,2026-04-02T11:37:00+00:00
ORD00067,CUST0309,97262,paid,2026-05-13T12:56:00+00:00
ORD00068,CUST0498,1093527,paid,2026-05-18T20:05:00+00:00
ORD00069,CUST0233,246701,paid,2026-06-25T17:14:00+00:00
ORD00070,CUST0432,29955,paid,2026-06-04T10:13:00+00:00
ORD00071,CUST0288,119416,paid,2026-01-26T10:52:00+00:00
ORD00072,CUST0084,32434,paid,2026-06-21T11:10:00+00:00
ORD00073,CUST0179,5147234,paid,2026-02-20T13:40:00+00:00
ORD00074,CUST0264,73094,paid,2026-06-21T09:58:00+00:00
ORD00075,CUST0391,1023849,paid,2026-02-06T09:10:00+00:00
ORD00076,CUST0466,67690,paid,2026-04-20T18:07:00+00:00
ORD00077,CUST0339,867682,paid,2026-06-19T09:07:00+00:00
ORD00078,CUST0443,584522,paid,2026-03-17T17:19:00+00:00
ORD00079,CUST0403,220689,paid,2026-03-02T10:42:00+00:00
ORD00080,CUST0132,137849,paid,2026-05-14T11:07:00+00:00
ORD00081,CUST0154,199397,paid,2026-06-19T14:26:00+00:00
ORD00082,CUST0445,229174,paid,2026-05-21T09:08:00+00:00
ORD00083,CUST0208,107090,paid,2026-04-19T10:26:00+00:00
ORD00084,CUST0162,161714,paid,2026-03-31T20:00:00+00:00
ORD00085,CUST0495,1157955,paid,2026-01-21T09:38:00+00:00
ORD00086,CUST0264,1231104,paid,2026-03-14T13:06:00+00:00
ORD00087,CUST0121,6587692,paid,2026-03-14T10:52:00+00:00
