record_type,record_id,state,tier,rule_name,confidence,rationale,proposer_output,verifier_output,tolerance_used,reason_code,timestamp
order,ORD00075,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
transaction,TXN00075,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
transaction,TXN00076,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
bank_credit,UTR00061,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
order,ORD00085,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
transaction,TXN00086,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
transaction,TXN00087,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
bank_credit,UTR00072,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
order,ORD00086,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
transaction,TXN00088,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
transaction,TXN00089,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
bank_credit,UTR00073,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
order,ORD00106,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
transaction,TXN00109,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
transaction,TXN00110,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
bank_credit,UTR00096,exception,1,duplicate_detect,0.0,Multiple gateway captures share one order; a human must identify the retry to void.,,,duplicate count > 1,duplicate_capture_human_void_required,2026-07-03T10:46:00+00:00
